case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,35,Turning & Milling,2012-01-02 07:00:00+00:00,2012-01-02 18:01:00+00:00,0,ID4162
1,40,Turning,2012-01-02 14:21:11.249952280+00:00,2012-01-02 15:21:11.249952280+00:00,1,ID3718
0,25,Turning & Milling,2012-01-02 18:01:00+00:00,2012-01-03 00:42:55.536648505+00:00,2,ID4132
2,0,Turning & Milling Q.C.,2012-01-02 14:54:17.332978127+00:00,2012-01-02 17:18:29.480541809+00:00,3,ID4163
1,24,Turning,2012-01-02 15:21:11.249952280+00:00,2012-01-02 19:51:11.249952280+00:00,4,ID4442
0,23,Turning & Milling Q.C.,2012-01-03 00:42:55.536648505+00:00,2012-01-03 01:57:55.536648505+00:00,5,ID0937
2,38,Turning & Milling,2012-01-02 17:18:29.480541809+00:00,2012-01-02 18:33:29.480541809+00:00,6,ID4140
3,5,Turning & Milling,2012-01-02 17:33:03.963574794+00:00,2012-01-02 16:56:06.635215264+00:00,7,ID0997
1,2,Turning,2012-01-02 19:51:11.249952280+00:00,2012-01-03 03:05:09.720093710+00:00,8,ID4794
0,1,Laser Marking,2012-01-03 01:57:55.536648505+00:00,2012-01-03 04:55:02.680329412+00:00,9,ID4445
3,16,Turning & Milling,2012-01-02 16:56:06.635215264+00:00,2012-01-02 22:13:06.635215264+00:00,10,ID4872
2,8,Turning & Milling,2012-01-02 18:33:29.480541809+00:00,2012-01-03 04:07:34.387213898+00:00,11,ID4641
4,7,Turning & Milling,2012-01-03 00:15:00+00:00,2012-01-03 01:49:46.576230857+00:00,12,ID4219
0,22,Flat Grinding,2012-01-03 04:55:02.680329412+00:00,2012-01-03 09:25:02.680329412+00:00,14,ID3716
3,11,Turning & Milling,2012-01-02 22:13:06.635215264+00:00,2012-01-03 01:02:10.294181072+00:00,15,ID3846
5,18,Turning & Milling,2012-01-03 01:23:27.782612298+00:00,2012-01-03 02:38:27.782612298+00:00,16,ID4287
4,35,Turning & Milling,2012-01-03 01:49:46.576230857+00:00,2012-01-03 12:50:46.576230857+00:00,17,ID4162
2,38,Turning & Milling,2012-01-03 04:07:34.387213898+00:00,2012-01-03 05:22:34.387213898+00:00,18,ID4140
1,13,Turning Q.C.,2012-01-03 07:00:00+00:00,2012-01-03 08:00:25.111185122+00:00,19,ID4493
0,9,Laser Marking,2012-01-03 09:25:02.680329412+00:00,2012-01-03 10:19:41.063856371+00:00,20,ID4355
3,16,Turning & Milling,2012-01-03 01:02:10.294181072+00:00,2012-01-03 06:19:10.294181072+00:00,21,ID4872
5,23,Turning & Milling,2012-01-03 02:38:27.782612298+00:00,2012-01-03 03:53:27.782612298+00:00,22,ID0937
2,18,Turning & Milling,2012-01-03 05:22:34.387213898+00:00,2012-01-03 06:37:34.387213898+00:00,23,ID4287
6,31,Round Grinding,2012-01-03 06:49:05.343193691+00:00,2012-01-03 10:38:30.907503035+00:00,24,ID4109
1,14,Turning & Milling Q.C.,2012-01-03 08:00:25.111185122+00:00,2012-01-03 08:31:33.518395489+00:00,25,ID4618
0,30,Flat Grinding,2012-01-03 10:19:41.063856371+00:00,2012-01-03 11:18:41.063856371+00:00,26,ID0420
4,23,Turning & Milling,2012-01-03 12:50:46.576230857+00:00,2012-01-03 14:05:46.576230857+00:00,27,ID0937
5,12,Flat Grinding,2012-01-03 03:53:27.782612298+00:00,2012-01-03 05:08:27.782612298+00:00,28,ID4528
3,8,Turning & Milling,2012-01-03 06:19:10.294181072+00:00,2012-01-03 06:41:45.384201643+00:00,29,ID4641
2,1,Turning & Milling,2012-01-03 06:37:34.387213898+00:00,2012-01-03 07:47:34.387213898+00:00,30,ID4445
1,38,Turning & Milling,2012-01-03 08:31:33.518395489+00:00,2012-01-03 09:46:33.518395489+00:00,31,ID4140
