caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,start_timestamp
Case1,Rework Milling,res_e3d0dcc8-f4f8-4a34-878a-4e920fcc40bb,Role 1,2012-01-02 12:02:39,12,0,2012-01-02 08:51:52
Case2,Turning & Milling,res_224b8bbf-2f17-4f75-9b2e-370a155179a1,Role 1,2012-01-02 12:44:29,13,1,2012-01-02 09:43:51
Case3,Milling Q.C.,res_e3d0dcc8-f4f8-4a34-878a-4e920fcc40bb,Role 1,2012-01-02 13:40:38,14,0,2012-01-02 10:35:33
Case4,Rework Milling,res_e3d0dcc8-f4f8-4a34-878a-4e920fcc40bb,Role 1,2012-01-02 14:08:21,15,1,2012-01-02 11:06:45
Case5,Turning & Milling,res_05ee3a3a-d38c-415b-a6f5-271cfd275026,Role 1,2012-01-02 14:30:29,16,2,2012-01-02 12:22:45
Case1,Turning & Milling Q.C.,res_c5af23aa-e690-4ef8-8ecf-b2562580e7b1,Role 3,2012-01-02 14:43:05,15,0,2012-01-02 12:19:59
Case6,Turning & Milling,res_c5af23aa-e690-4ef8-8ecf-b2562580e7b1,Role 1,2012-01-02 15:10:30,17,2,2012-01-02 13:03:33
Case2,Turning & Milling Q.C.,res_05ee3a3a-d38c-415b-a6f5-271cfd275026,Role 3,2012-01-02 15:57:59,17,1,2012-01-02 14:19:56
Case7,Rework Milling,res_05ee3a3a-d38c-415b-a6f5-271cfd275026,Role 1,2012-01-02 16:15:44,18,0,2012-01-02 14:32:42
Case3,Packing,res_c5af23aa-e690-4ef8-8ecf-b2562580e7b1,Role 5,2012-01-02 17:20:14,18,0,2012-01-02 15:33:08
Case4,Turning & Milling Q.C.,res_c5af23aa-e690-4ef8-8ecf-b2562580e7b1,Role 3,2012-01-02 17:20:57,19,1,2012-01-02 15:45:32
Case8,Turning & Milling,res_2bb33b93-f131-4792-959c-c90015123578,Role 1,2012-01-02 17:40:34,19,1,2012-01-02 15:41:14
Case6,Change Version,res_2bb33b93-f131-4792-959c-c90015123578,Role 1,2012-01-02 18:07:36,20,0,2012-01-02 17:04:31
Case5,Turning & Milling Q.C.,res_2bb33b93-f131-4792-959c-c90015123578,Role 3,2012-01-02 18:23:12,20,1,2012-01-02 17:01:21
Case9,Milling Q.C.,res_c5af23aa-e690-4ef8-8ecf-b2562580e7b1,Role 1,2012-01-02 18:33:35,20,0,2012-01-02 16:32:49
Case10,Turning & Milling,res_b8d3a7c7-ab5d-4589-a9fe-5d3baa1d0464,Role 1,2012-01-02 19:37:09,21,2,2012-01-02 17:36:10
Case1,Turn & Mill. & Screw Assem,res_c33a596c-5475-4118-a99b-18154a41ba97,Role 1,2012-01-02 20:17:02,22,0,2012-01-02 18:38:45
Case11,Change Version,res_b017d44d-abab-4dcf-9872-6fab838b2344,Role 1,2012-01-02 21:20:57,22,0,2012-01-02 18:28:18
Case9,Packing,res_c5af23aa-e690-4ef8-8ecf-b2562580e7b1,Role 5,2012-01-02 21:33:46,23,0,2012-01-02 20:05:41
Case8,Milling,res_05ee3a3a-d38c-415b-a6f5-271cfd275026,Role 1,2012-01-02 21:53:05,23,0,2012-01-02 20:19:51
Case4,Turning & Milling,res_05ee3a3a-d38c-415b-a6f5-271cfd275026,Role 1,2012-01-02 22:06:09,24,1,2012-01-02 21:12:08
Case7,Milling Q.C.,res_cf661816-2484-4074-bb03-b799c0e2989e,Role 1,2012-01-02 22:18:55,24,0,2012-01-02 21:25:18
