case_id,activity_name,resource,start_timestamp,end_timestamp,agent
1,Turning & Milling,ID4932,2012-01-30 06:24:00+00:00,2012-01-30 12:43:00+00:00,20
1,Turning & Milling,ID4932,2012-01-30 12:44:00+00:00,2012-01-30 13:42:00+00:00,20
1,Turning & Milling,ID4167,2012-01-30 13:59:00+00:00,2012-01-30 14:21:00+00:00,15
1,Turning & Milling,ID4167,2012-01-30 14:21:00+00:00,2012-01-30 17:58:00+00:00,15
1,Turning & Milling Q.C.,ID4163,2012-01-31 20:20:00+00:00,2012-01-31 21:50:00+00:00,0
1,Laser Marking,ID0998,2012-02-01 15:18:00+00:00,2012-02-01 15:27:00+00:00,10
1,Lapping,ID4882,2012-02-14 07:00:00+00:00,2012-02-14 08:15:00+00:00,4
1,Lapping,ID4882,2012-02-14 07:00:00+00:00,2012-02-14 08:15:00+00:00,4
1,Lapping,ID4882,2012-02-14 16:05:00+00:00,2012-02-14 16:38:00+00:00,4
1,Lapping,ID4882,2012-02-14 16:05:00+00:00,2012-02-14 17:20:00+00:00,4
1,Round Grinding,ID4445,2012-02-14 16:13:00+00:00,2012-02-14 20:37:00+00:00,1
1,Round Grinding,ID4445,2012-02-14 20:37:00+00:00,2012-02-14 22:27:00+00:00,1
1,Final Inspection Q.C.,ID4493,2012-02-16 13:59:00+00:00,2012-02-16 14:59:00+00:00,13
1,Final Inspection Q.C.,ID4493,2012-02-16 19:11:00+00:00,2012-02-16 20:58:00+00:00,13
1,Final Inspection Q.C.,ID4493,2012-02-16 19:43:00+00:00,2012-02-16 23:12:00+00:00,13
1,Packing,ID4820,2012-02-17 07:00:00+00:00,2012-02-17 08:00:00+00:00,19
3,Turning & Milling,ID4167,2012-01-29 14:24:00+00:00,2012-01-30 00:59:00+00:00,15
3,Turning & Milling Q.C.,ID4163,2012-01-29 23:52:00+00:00,2012-01-30 01:01:00+00:00,0
3,Turning & Milling,ID4932,2012-01-30 03:09:00+00:00,2012-01-30 06:23:00+00:00,20
3,Turning & Milling Q.C.,ID4163,2012-01-30 14:00:00+00:00,2012-01-30 14:40:00+00:00,0
3,Laser Marking,ID0998,2012-01-30 15:08:00+00:00,2012-01-30 15:28:00+00:00,10
3,Lapping,ID0998,2012-02-14 19:42:00+00:00,2012-02-14 20:40:00+00:00,10
3,Round Grinding,ID4445,2012-02-14 22:27:00+00:00,2012-02-14 23:08:00+00:00,1
3,Round Grinding,ID4385,2012-02-14 23:00:00+00:00,2012-02-15 00:30:00+00:00,26
3,Round Grinding,ID4385,2012-02-15 00:45:00+00:00,2012-02-15 04:34:00+00:00,26
3,Round Grinding,ID4385,2012-02-15 04:34:00+00:00,2012-02-15 05:58:00+00:00,26
3,Round Grinding,ID4385,2012-02-15 05:58:00+00:00,2012-02-15 06:46:00+00:00,26
3,Round Grinding,ID0420,2012-02-15 06:47:00+00:00,2012-02-15 12:41:00+00:00,30
3,Final Inspection Q.C.,ID4493,2012-02-16 15:22:00+00:00,2012-02-16 18:22:00+00:00,13
3,Final Inspection Q.C.,ID4493,2012-02-16 18:15:00+00:00,2012-02-16 19:15:00+00:00,13
